date,cn_PM10,seoul_PM10,seoul_wd,seoul_ws,china_wd,china_ws
2013030700,312,115,ENE,1.6,NE,0
2013030701,320,110,WSW,0.9,NNE,0.9
2013030702,308,109,SW,2.1,N,0
2013030703,305,111,SSW,3.0,NNE,1.9
2013030704,290,112,SSW,2.7,NE,0.5
2013030705,240,118,SW,6.8,NNW,0.9
2013030706,189,99,SSW,4.4,NNE,0.7
2013030707,176,80,SSW,4.4,NE,1.7
2013030708,149,74,SSW,4.9,SSW,1.1
2013030709,140,75,SSW,5.3,SE,1.4
2013030710,165,82,SSW,4.7,NNE,1
2013030711,227,85,SSW,4.3,SE,2.4
2013030712,264,95,SW,5.0,SSE,3
2013030713,280,104,SW,4.7,S,2.6
2013030714,335,117,SW,4.7,SSW,1.5
2013030715,371,127,WSW,2.8,SSW,1.4
2013030716,290,158,SW,3.9,ESE,1.1
2013030717,262,169,SSW,3.7,E,1.2
2013030718,328,146,SSW,2.7,NNE,1.5
2013030719,435,140,WSW,2.0,NNE,0.4
2013030720,497,146,WNW,2.6,WSW,0.4
2013030721,486,150,WSW,2.8,NW,0
2013030722,445,153,SW,3.1,NNW,0.9
2013030723,425,159,W,4.2,NNE,1
2013030800,385,114,SW,3.6,N,1.3
2013030801,340,102,SSW,1.4,NW,1.1
2013030802,352,94,ESE,1.8,NE,1.6
2013030803,312,94,SSE,1.3,NNW,1.6
2013030804,278,96,SE,1.7,SW,0.5
2013030805,249,102,E,1.5,S,0.5
2013030806,222,117,ENE,2.5,W,0.7
2013030807,221,123,E,2.8,NNE,2
2013030808,223,98,NE,2.7,NE,2
2013030809,226,94,NE,2.5,SE,1.2
2013030810,196,95,SW,2.4,SE,2.1
2013030811,244,73,SW,4.1,S,3.1
2013030812,197,66,SW,4.7,SE,5.5
2013030813,515,81,SW,5.4,SE,6.2
2013030814,668,107,SW,4.2,SE,6.7
2013030815,330,129,SW,4.6,SSE,3.5
2013030816,229,160,W,3.5,SSE,2.6
2013030817,156,164,WNW,3.6,SE,3.1
2013030818,92,150,W,2.6,SE,1.8
2013030819,88,149,WNW,1.6,SSE,2.7
2013030820,104,136,WSW,2.5,SSE,1.7
2013030821,113,184,WSW,1.3,SSW,1.7
2013030822,80,191,WSW,2.5,SSW,1.7
2013030823,93,175,SW,0.7,ENE,0.7
2013030900,84,169,NNE,1.8,WNW,1
2013030901,98,147,NE,2.1,SW,0.6
2013030902,93,138,NE,3.3,WNW,1.7
2013030903,105,142,ENE,2.1,SSW,0.6
2013030904,131,164,ENE,1.7,WSW,0.8
2013030905,105,139,NE,3.1,NW,1.5
2013030906,115,140,ENE,3.2,N,1.2
2013030907,124,137,ENE,3.6,N,3.3
2013030908,143,127,ENE,3.6,N,3
2013030909,168,131,ENE,3.6,NNW,7.8
2013030910,177,147,E,3.0,NW,12.8
2013030911,764,148,ENE,2.2,NNW,9.7
2013030912,NA,129,ENE,2.1,NNW,9.9
2013030913,NA,114,NE,1.2,NW,7.6
2013030914,NA,91,SW,6.5,NW,6.2
2013030915,NA,127,SW,6.5,NNW,5.9
2013030916,NA,148,SSW,7.4,NNW,6.2
2013030917,NA,140,SW,5.7,NW,4.1
2013030918,NA,138,SSW,5.3,WNW,4.7
2013030919,NA,126,WSW,5.1,WNW,7.1
2013030920,NA,114,SW,6.6,WNW,4.8
2013030921,NA,107,WSW,7.8,NW,6.3
2013030922,NA,128,W,6.4,NNW,2.2
2013030923,NA,123,WSW,5.7,NNE,1
2013031000,NA,126,WNW,6.5,N,1.1
2013031001,NA,130,WNW,5.5,NNE,0
2013031002,NA,76,WNW,6.6,NNW,0.9
2013031003,NA,64,WNW,4.3,NE,0.7
2013031004,NA,58,W,4.7,NE,1.3
2013031005,NA,47,WNW,3.9,NE,0.2
2013031006,NA,35,WNW,3.5,NNE,1.6
2013031007,NA,28,NW,7.2,S,0.7
2013031008,NA,18,NW,4.8,SE,1.5
2013031009,39,19,NW,6.1,S,3.8
2013031010,69,19,NW,6.3,S,3.5
2013031011,37,15,WNW,4.2,SW,3.6
2013031012,45,24,WNW,4.7,SSW,3
2013031013,41,25,WNW,4.7,WSW,3.1
2013031014,26,31,W,4.7,SW,3.1
2013031015,34,36,WSW,5.2,SW,3.7
2013031016,50,37,W,4.7,SSW,5
2013031017,58,36,NW,4.6,SSW,4.2
2013031018,74,30,WNW,5.7,S,2.4
2013031019,94,39,WNW,5.0,SSE,1.7
2013031020,108,36,NW,5.5,SE,1.5
2013031021,120,45,NW,5.0,SSE,1.6
2013031022,141,35,NW,5.9,SE,1.8
2013031023,135,34,NW,5.5,SE,1.6
2013031100,131,29,WNW,3.5,SE,1.8
2013031101,126,29,WNW,3.0,SE,2
2013031102,128,30,W,1.7,ESE,1.2
2013031103,143,27,WNW,1.3,ESE,1.5
2013031104,142,26,NNW,1.2,SSE,1.5
2013031105,135,23,N,0.7,ENE,0.6
2013031106,141,29,N,0.3,ESE,0.4
2013031107,157,24,NNE,1.3,ESE,1.1
2013031108,155,31,NE,3.2,ESE,1.3
2013031109,138,33,E,2.7,SSE,1.9
2013031110,141,35,NE,3.0,SE,1.5
2013031111,131,36,NE,2.5,ENE,1.9
2013031112,175,46,ENE,2.6,S,1.9
2013031113,173,46,SSE,2.4,SSE,2.1
2013031114,160,43,S,1.6,SSW,2.2
2013031115,140,39,SSW,2.8,SW,2.6
2013031116,120,31,NNW,1.5,S,3.4
2013031117,157,39,WSW,3.1,SSW,1.2
2013031118,197,41,W,3.5,SE,1.6
2013031119,187,50,W,3.1,SE,1.1
2013031120,198,63,W,2.1,SE,1
2013031121,204,56,WSW,2.4,SE,1.6
2013031122,200,63,W,1.6,SE,1.8
2013031123,192,54,WNW,2.8,ESE,1.2
2013031200,164,55,WNW,1.2,SE,2.1
2013031201,176,61,N,0.0,E,1.3
2013031202,170,62,N,0.4,SE,1.5
2013031203,156,60,W,1.2,NW,1.3
2013031204,159,58,NE,2.4,NE,1.5
2013031205,168,60,NE,3.0,NE,1.5
2013031206,138,62,NE,2.6,SSW,0.9
2013031207,115,64,NE,2.7,WNW,0.8
2013031208,103,82,NE,3.0,N,1.4
2013031209,104,80,ENE,2.2,NE,1.4
2013031210,92,78,NE,2.6,NNE,1.3
2013031211,90,74,ENE,1.7,N,1.1
2013031212,96,66,SSW,1.2,NW,1.2
2013031213,86,55,SW,4.1,N,1.5
2013031214,83,46,W,2.6,N,1.3
2013031215,67,-999,WSW,2.6,N,0.7
2013031216,76,-999,SW,4.3,NW,2
2013031217,100,37,SW,2.6,WNW,0.8
2013031218,100,37,W,2.3,NNE,0.6
2013031219,122,32,W,2.1,N,0.9
2013031220,99,36,SW,1.1,NNE,1
2013031221,66,40,W,0.9,N,1.1
2013031222,99,52,NE,2.1,N,0.9
2013031223,100,50,SSW,3.0,N,3.6
2013031300,13,43,E,1.3,N,1.5
2013031301,6,28,NNE,1.1,NNE,2
2013031302,6,30,NE,2.9,NNE,1.7
2013031303,7,26,NE,1.4,NW,2.6
2013031304,6,29,NW,2.4,NE,1.9
2013031305,6,20,N,1.5,NE,2.8
2013031306,6,4,NW,4.5,NE,2.5
2013031307,8,6,NW,3.4,NE,3.6
2013031308,8,6,NW,4.8,NE,3.8
2013031309,17,2,WNW,5.0,NNE,4.1
2013031310,17,6,WNW,2.8,E,3.4
2013031311,6,4,NNW,3.6,NNE,2.2
2013031312,6,13,WNW,5.0,N,2.5
2013031313,6,13,WNW,3.0,ENE,0.6
2013031314,6,21,WNW,4.2,NE,2.4
2013031315,6,27,WNW,5.4,WNW,0.9
2013031316,6,31,WNW,5.5,SSE,1.7
2013031317,6,32,WNW,5.4,SSE,1.8
2013031318,9,27,WNW,6.3,SSE,1.5
2013031319,26,25,WNW,2.8,SSE,1.3
2013031320,40,26,WNW,4.0,SSE,1.3
2013031321,71,21,WNW,4.1,SSE,1.3
2013031322,75,24,NW,3.8,SE,2.1
2013031323,80,23,WNW,2.2,SE,3.2
2013031400,118,19,N,1.2,SE,2.7
2013031401,98,19,NNE,4.7,ESE,1.8
2013031402,72,12,NE,3.5,ESE,1.5
2013031403,63,13,NE,3.0,E,1.7
2013031404,58,9,NE,3.2,ESE,1.4
2013031405,59,9,NE,3.1,SE,1.7
2013031406,65,7,NE,2.4,SE,1
2013031407,65,9,NE,2.7,SE,1.4
2013031408,67,15,NE,3.0,SE,1.8
2013031409,76,9,E,2.0,S,1.1
2013031410,81,13,NE,1.6,SE,1.6
2013031411,107,16,NW,0.8,SW,1.6
2013031412,112,24,N,2.2,SSW,2.7
2013031413,125,30,SW,3.0,NW,1.4
2013031414,137,24,SW,3.1,S,1.4
2013031415,134,31,WSW,3.6,S,2.5
2013031416,113,37,W,3.8,S,3.8
2013031417,105,27,W,3.8,SSW,3.1
2013031418,114,24,W,4.9,S,1.9
2013031419,112,24,W,4.7,S,1.3
2013031420,123,17,WSW,2.8,SE,1.1
2013031421,125,21,WNW,2.8,SE,1
2013031422,128,27,W,3.1,SE,1.1
2013031423,150,25,W,2.7,ENE,0.9
2013031500,146,20,NNE,0.8,NNE,2.2
2013031501,160,17,W,1.1,NNE,1.1
2013031502,154,18,WSW,0.9,N,1.4
2013031503,143,20,NNW,0.6,NE,1.3
2013031504,138,23,N,0.4,N,1.3
2013031505,136,21,NW,0.9,N,1.2
2013031506,133,25,W,2.2,NNE,1.6
2013031507,135,34,W,2.0,NNE,1.4
2013031508,150,36,WSW,1.8,N,1.2
2013031509,167,23,WSW,2.2,NNE,1.1
2013031510,167,26,SW,2.8,SSE,2
2013031511,243,30,WSW,2.2,SW,1.1
2013031512,270,36,SSW,3.2,ESE,2.4
2013031513,280,52,SW,3.9,SE,2.6
2013031514,293,73,W,3.3,SSW,2.4
2013031515,296,85,W,3.2,SSE,1.3
2013031516,307,68,WSW,3.4,ESE,1.3
2013031517,275,66,WSW,5.3,E,1.8
2013031518,263,55,W,3.6,ENE,1.2
2013031519,306,43,WNW,3.9,E,0.2
2013031520,294,49,WNW,2.8,N,0.9
2013031521,295,40,W,2.2,NNE,1.8
2013031522,273,34,SW,2.3,NNE,1
2013031523,289,32,W,2.2,N,1.3
2013031600,298,32,W,2.5,NNE,1.3
2013031601,274,23,W,1.2,N,1.9
2013031602,277,19,W,1.5,N,1.8
2013031603,250,19,W,1.9,N,1.3
2013031604,249,21,WNW,1.7,NNE,1.7
2013031605,242,17,WNW,1.3,N,2.4
2013031606,247,16,NE,2.2,NNW,1.7
2013031607,248,19,ENE,1.3,NNW,1.4
2013031608,266,29,NNE,1.0,NW,1.8
2013031609,272,31,S,1.0,WNW,1.9
2013031610,264,32,NW,2.6,NE,0.5
2013031611,239,24,NW,3.2,WSW,2.2
2013031612,141,23,W,2.3,S,2.4
2013031613,137,29,WNW,2.8,S,3.1
2013031614,122,37,SW,3.2,SSE,3.1
2013031615,168,43,SW,3.6,S,4.1
2013031616,151,47,WSW,4.2,SSE,3
2013031617,115,52,W,4.4,SSE,1.8
2013031618,158,59,W,4.1,SSE,2.5
2013031619,212,58,WNW,4.2,SSE,2.7
2013031620,194,39,WNW,2.8,S,3.2
2013031621,204,36,WSW,2.5,SSE,2.2
2013031622,154,42,WNW,1.1,ESE,1.5
2013031623,154,45,N,0.7,SE,1.5
2013031700,137,43,NE,1.8,SE,1.2
2013031701,146,44,NE,1.3,SE,1.4
2013031702,148,43,N,0.3,SE,1.1
2013031703,144,40,ENE,1.6,S,1
2013031704,163,44,NNE,1.5,NNE,1.1
2013031705,171,41,NE,1.7,SSE,0.7
2013031706,201,45,NE,2.7,ESE,0.9
2013031707,205,49,NE,2.6,NNE,1.1
2013031708,223,51,ENE,2.4,SSE,1.3
2013031709,229,57,NE,2.5,SSE,1.8
2013031710,257,59,E,1.9,ESE,1
2013031711,259,66,ENE,1.3,SSE,1.4
2013031712,270,70,NNE,1.3,E,1.7
2013031713,322,65,SW,2.8,NNE,0.7
2013031714,335,69,W,6.2,S,2.3
2013031715,352,37,SW,4.6,SSW,1.2
2013031716,354,26,W,5.3,ENE,0.9
2013031717,346,38,W,4.3,ESE,1.6
2013031718,362,35,W,3.6,NNE,1.5
2013031719,399,33,SW,3.6,NE,0.8
2013031720,400,28,SSW,3.9,NE,0.6
2013031721,421,21,N,0.3,NNE,1.5
2013031722,430,32,NE,3.8,NNE,1.1
2013031723,381,30,ENE,4.3,N,2.2
2013031800,382,20,ENE,5.6,N,1.5
2013031801,368,14,NE,3.9,N,1.3
2013031802,348,14,ENE,2.0,N,1.9
2013031803,331,9,NE,1.9,NW,3.5
2013031804,301,14,ENE,2.2,WNW,5.3
2013031805,44,17,N,0.4,NW,2.7
2013031806,17,14,WNW,0.9,NNW,5.4
2013031807,6,16,NNE,0.5,NW,5.2
2013031808,6,17,NNE,0.8,NW,5.1
2013031809,6,14,WNW,2.5,ENE,5.4
2013031810,6,27,WSW,2.0,E,4.2
2013031811,6,17,WNW,3.0,NE,4.2
2013031812,6,24,WSW,3.7,W,2
2013031813,6,-999,SW,3.0,SSE,1.1
2013031814,6,-999,SW,5.3,S,1.8
2013031815,6,-999,SW,5.6,SSE,2.3
2013031816,6,-999,SW,4.9,SSE,5.3
2013031817,6,-999,SW,4.9,S,5.3
2013031818,6,33,WSW,5.5,S,5.2
2013031819,216,38,W,6.7,SSE,6.5
2013031820,99,21,WSW,4.1,S,5.3
2013031821,50,14,WSW,4.5,SSE,4.3
2013031822,12,22,SW,4.4,SSE,3.2
2013031823,12,12,SW,5.7,SE,2.2
2013031900,6,12,WSW,3.5,E,1.9
2013031901,20,14,WNW,3.9,ESE,1.4
2013031902,10,19,WSW,1.9,ESE,1.5
2013031903,19,23,WNW,2.6,N,1.7
2013031904,15,23,S,1.4,N,1.3
2013031905,17,21,SSE,3.2,NE,0.8
2013031906,13,18,WSW,2.3,NE,1.6
2013031907,17,31,WSW,2.4,N,1.6
2013031908,27,32,WSW,3.4,N,2.7
2013031909,35,35,WNW,2.3,N,2.7
2013031910,44,38,SW,3.6,NE,2.7
2013031911,48,42,SW,2.5,NNE,2.1
2013031912,37,49,SSW,2.4,NNE,2.9
2013031913,44,48,W,3.0,NNE,2.4
2013031914,30,56,W,1.7,NE,3.5
2013031915,21,52,SW,1.5,NE,2.7
2013031916,8,57,WSW,1.7,NE,2.5
2013031917,6,56,WNW,2.4,NE,2.3
2013031918,6,62,WNW,3.1,NE,2
2013031919,6,72,WNW,2.7,NE,2.9
2013031920,6,65,WNW,2.2,NNE,0.7
2013031921,6,74,WNW,2.6,ESE,2.6
2013031922,13,60,NW,1.3,ESE,2.4
2013031923,13,43,WNW,1.4,E,1.8
2013032000,22,34,ENE,1.8,SSE,1.6
2013032001,32,35,ENE,2.7,SE,1.7
2013032002,33,34,ENE,1.1,SSE,1.3
2013032003,6,31,E,2.7,S,1.1
2013032004,6,36,ENE,2.8,W,1
2013032005,6,33,WNW,1.8,SSE,0.6
2013032006,6,30,WNW,4.1,WSW,0
2013032007,19,29,NW,2.6,W,0.8
2013032008,34,25,NNW,4.4,NW,0.4
2013032009,33,11,NW,3.9,S,1.6
2013032010,21,10,NW,5.0,WSW,2.9
2013032011,23,8,NNW,5.0,WNW,3.4
2013032012,6,2,NNE,2.0,W,4
2013032013,6,-999,W,6.4,WSW,4
2013032014,6,18,WNW,5.8,SW,2.5
2013032015,9,19,WNW,6.9,SW,2.9
2013032016,28,18,WNW,7.9,WSW,2.6
2013032017,30,25,W,7.1,S,1.6
2013032018,43,19,NW,6.6,SSW,4
2013032019,67,33,NW,4.7,SSW,1.9
2013032020,87,36,WNW,5.0,S,1.8
2013032021,87,34,WNW,4.2,S,2.5
2013032022,90,33,WNW,4.0,SSE,1.8
2013032023,90,31,WNW,5.0,SSE,2
2013032100,91,35,NNW,3.2,SSE,2.6
2013032101,80,29,N,1.3,SSE,2.5
2013032102,79,29,NW,2.7,SSE,2.7
2013032103,76,31,W,3.1,SE,1.4
2013032104,92,26,W,2.6,SE,1
2013032105,101,30,NNE,1.0,SE,1.1
2013032106,104,29,WNW,1.7,SSE,1.1
2013032107,95,31,WNW,1.5,S,1.5
2013032108,92,29,N,0.4,ESE,1.1
2013032109,84,36,WSW,1.6,ESE,0.2
2013032110,100,36,SW,2.1,SSE,1.6
2013032111,100,37,SSW,1.7,NNW,0.8
2013032112,115,41,SW,2.7,NNW,1.4
2013032113,127,43,W,2.9,NNE,1
2013032114,152,47,WSW,4.8,ENE,0.9
2013032115,159,62,WSW,3.0,NNW,1.6
2013032116,172,43,WSW,2.8,NNW,1.9
2013032117,174,43,W,3.3,NNE,2.2
2013032118,180,37,W,2.7,NNE,1
2013032119,192,37,W,3.1,N,1.4
2013032120,199,41,WNW,1.4,N,2.8
2013032121,180,38,W,2.1,N,1.7
2013032122,188,46,W,1.7,NW,1.6
2013032123,186,50,SW,2.6,N,1
2013032200,129,35,W,2.2,NNE,0.9
2013032201,133,35,WNW,1.3,NNE,0.7
2013032202,133,37,N,0.3,NNE,2.2
2013032203,130,34,SSW,1.3,NNW,1
2013032204,128,39,WNW,1.7,NNE,0.7
2013032205,124,33,SW,0.8,ENE,1.8
2013032206,120,34,WNW,0.7,NNE,0.7
2013032207,116,30,WNW,1.2,NE,2.1
2013032208,109,27,WSW,1.9,ENE,3.1
2013032209,106,34,WNW,1.5,SE,1.8
2013032210,102,31,SW,1.9,SE,1.9
2013032211,99,32,SSW,1.8,S,4.2
2013032212,121,38,WSW,2.8,SSW,4.2
2013032213,93,53,WSW,3.4,SW,4.1
2013032214,100,58,NW,2.9,SSW,3.5
2013032215,122,58,WNW,3.2,SW,2.5
2013032216,141,45,WNW,3.5,SW,4.4
2013032217,117,41,WSW,2.9,SW,2.5
2013032218,118,40,SW,4.3,SSW,2.6
2013032219,121,45,W,3.0,SSE,3
2013032220,110,43,W,2.9,S,3.9
2013032221,70,50,WSW,1.7,SSE,3
2013032222,60,49,WNW,2.4,SSE,2.5
2013032223,96,47,W,3.7,SSE,2.6
2013032300,67,51,WNW,3.5,SSE,2
2013032301,51,46,W,3.8,SE,2.4
2013032302,46,54,NNW,0.8,SE,1.7
2013032303,41,49,W,3.7,SSE,3.6
2013032304,51,45,W,1.7,SE,1.5
2013032305,52,44,WNW,1.1,SSE,2.1
2013032306,49,44,WNW,1.5,SE,3.3
2013032307,50,45,W,1.5,SSE,3
2013032308,73,48,N,0.2,SSE,3.9
2013032309,68,53,E,2.0,SE,2.2
2013032310,79,55,E,3.0,SSE,1.1
2013032311,72,60,S,2.2,NW,2.9
2013032312,67,67,WSW,2.8,NNE,0.7
2013032313,60,59,N,1.7,WSW,0.9
2013032314,80,63,SSE,1.2,ESE,1.7
2013032315,97,62,WSW,3.0,NW,7.2
2013032316,116,62,WSW,3.3,NW,7.2
2013032317,122,72,W,3.8,NW,6
2013032318,63,72,W,3.5,NW,5.9
2013032319,28,69,W,2.9,NW,5.6
2013032320,25,67,W,1.6,NW,4
2013032321,18,73,W,2.7,NE,2.4
2013032322,12,74,W,3.8,NE,2.3
2013032323,6,53,WSW,2.4,NE,0.7
2013032400,9,38,WNW,2.8,NE,2.9
2013032401,12,32,W,1.4,NE,2.4
2013032402,6,30,WNW,4.1,NNE,1.8
2013032403,6,27,W,3.1,NNE,3.1
2013032404,10,22,W,3.3,NNE,2.1
2013032405,10,18,W,3.7,NNE,1.2
2013032406,8,25,W,3.0,ESE,0.4
2013032407,14,29,W,3.2,NNW,1.8
2013032408,11,29,W,3.0,NNW,1.5
2013032409,14,31,WNW,2.2,E,2.9
2013032410,10,37,NW,3.1,E,2
2013032411,6,41,WSW,3.3,ENE,3.1
2013032412,6,43,W,3.4,SE,1.7
2013032413,6,46,W,5.0,ESE,2.8
2013032414,6,47,W,4.5,E,1.8
2013032415,17,45,WNW,3.9,S,3.3
2013032416,16,40,W,4.1,SE,3
2013032417,18,39,WSW,5.2,SSE,2.4
2013032418,31,41,WSW,5.1,SE,1.8
2013032419,37,51,W,4.5,S,2
2013032420,54,44,W,5.4,S,0
2013032421,95,56,NW,3.4,ESE,0.7
2013032422,116,63,NNW,3.4,SE,1.2
2013032423,101,55,WNW,3.7,SSE,2
2013032500,102,52,W,4.0,ESE,1.9
2013032501,134,43,WNW,2.1,SE,2.3
2013032502,142,38,NW,3.6,SE,2.5
2013032503,119,39,NW,3.8,SSE,2.1
2013032504,95,37,W,3.2,SE,0
2013032505,97,34,WNW,3.2,N,0
2013032506,115,37,WNW,3.0,N,0
2013032507,116,35,NW,1.6,ENE,1.1
2013032508,103,36,NW,3.8,SE,2
2013032509,120,34,WNW,4.6,SE,1.5
2013032510,94,37,WNW,4.0,SSW,2.4
2013032511,79,33,WNW,4.5,SSW,1.5
2013032512,101,41,NW,4.7,SSW,3.1
2013032513,113,38,NW,4.2,SSW,1.4
2013032514,108,36,W,4.7,SW,1.8
2013032515,130,36,NW,4.1,SW,2.8
2013032516,129,31,WNW,4.8,SSW,2
2013032517,119,29,W,5.3,SW,1.8
2013032518,116,27,WNW,5.1,SW,1.2
2013032519,130,30,WNW,4.1,S,1.2
2013032520,146,32,NW,4.7,SSE,1.6
2013032521,177,34,WNW,4.2,SSE,1.3
2013032522,178,40,NNW,2.2,SSE,2.3
